Opérateur;Année;Filière;Consommation Agriculture (MWh);Consommation Industrie (MWh);Consommation Tertiaire  (MWh);Consommation Résidentiel  (MWh);Consommation Secteur Inconnu (MWh);Consommation totale (MWh)
Enedis;2012;Electricité;2326,35;254074,66;335010,98;893896,99;773,02;1486082
RTE;2012;Electricité;0;31789,19;14744,75;0;0;46533,94
RTE;2013;Electricité;0;32371,06;13958,91;0;0;46329,97
GRDF;2013;Gaz;2024;164404;194120;607314;1357;969219
GRT Gaz;2013;Gaz;0;21516,39;0;0;0;21516,39
GRDF;2014;Gaz;1406;152950;161684;494381;949;811370
RTE;2015;Electricité;0;29955,7;13449,42;0;0;43405,12
GRDF;2015;Gaz;1616;157101;172541;535405;973;867636
Enedis;2016;Electricité;2393,25;280393,49;336383,99;876629,18;175,17;1495975,08
Enedis;2017;Electricité;2552,93;275718,26;344423,67;864441,61;58,6;1487195,07
GRT Gaz;2017;Gaz;0;6697,89;0;0;0;6697,89
Enedis;2018;Electricité;15931,3386578229;302064,225984528;441613,612989186;680485,136209156;26885,0202431333;1466979,33408383
GRDF;2018;Gaz;1913,64896;249534,04682;213992,74141;407984,16754;125,78746;873550,39219
Enedis;2019;Electricité;16661,2508134111;307205,571226904;448903,684911455;681359,3044181;19837,8737350739;1473967,68510494
RTE;2019;Electricité;0;32395,61;7919,921;0;0;40315,531
Enedis;2020;Electricité;15586,211219069;297465,063703544;436175,596574951;683676,17092759;1173,03316713;1434076,07559228
Enedis;2011;Electricité;2392,61;246744,23;327305,5;826628,46;801,83;1403872,63
GRT Gaz;2011;Gaz;0;29907,17;0;0;0;29907,17
GRDF;2012;Gaz;1944;157426;193507;594665;1280;948822
GRT Gaz;2014;Gaz;0;11710,23;0;0;0;11710,23
Enedis;2015;Electricité;2430,35;272233,34;333463,78;852849,53;522,16;1461499,16
GRT Gaz;2015;Gaz;0;8570,86;0;0;0;8570,86
RTE;2017;Electricité;0;35056,28;10181,11;0;0;45237,39
GRDF;2017;Gaz;1315;172146;177594;563888;1005;915948
GRT Gaz;2018;Gaz;0;8005,908571;0;0;0;8005,908571
GRT Gaz;2020;Gaz;0;10676;0;0;0;10676
GRDF;2021;Gaz;1979,25336;248435,95763;193609,95651;402130,62835;0;846155,79585
GRDF;2011;Gaz;1289;150637;175590;501468;928;829912
GRT Gaz;2012;Gaz;0;28753,47;0;0;0;28753,47
Enedis;2013;Electricité;2246,39;257713,62;334799,5;916495,13;485,96;1511740,6
Enedis;2014;Electricité;2293,07;262879,57;330025,95;831356,41;125,22;1426680,22
RTE;2014;Electricité;0;28525,39;13699,58;0;0;42224,97
RTE;2016;Electricité;0;33399,78;12051,11;0;0;45450,89
GRDF;2016;Gaz;1454;173164;175084;558487;984;909173
GRT Gaz;2016;Gaz;0;7480,39;0;0;0;7480,39
RTE;2018;Electricité;0;34911,455;7690,571;0;0;42602,026
GRDF;2019;Gaz;1828,81186;228533,77809;215013,21923;404421,25769;855,94312;850653,00999
GRT Gaz;2019;Gaz;0;9879;0;0;0;9879
RTE;2020;Electricité;0;26527,189;5591,998;0;0;32119,187
GRDF;2020;Gaz;1518,0123;224516,47245;174566,87013;370501,15644;0;771102,51132
Enedis;2021;Electricité;14791,852527377;307410,15675752;455365,019822624;725017,628802;862,71352295;1503447,37143247
RTE;2021;Electricité;0;33084,759;6338,775;0;0;39423,534
GRT Gaz;2021;Gaz;0;11314,15745;0;0;0;11314,15745
