Année;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Bioénergies (MW)
2021-01-01;6512;135;6701;19;0;650;170
2021-01-01;6522;140;6701;28;0;630;172
2021-01-01;6375;140;6688;28;0;536;172
2021-01-01;6581;140;6705;27;0;509;173
2021-01-01;6465;142;6705;27;0;504;172
2021-01-01;6485;138;6710;30;0;404;170
2021-01-01;6270;138;6709;28;0;404;171
2021-01-01;6078;139;6708;28;0;402;171
2021-01-01;5943;139;6711;30;0;402;172
2021-01-01;5771;138;6709;32;0;401;175
2021-01-01;5839;138;6710;35;0;404;174
2021-01-01;5874;138;6638;42;0;403;172
2021-01-01;5879;138;6618;50;0;403;170
2021-01-01;6015;138;6621;67;0;406;169
2021-01-01;6058;138;6617;77;0;404;170
2021-01-01;6099;139;6622;72;0;417;172
2021-01-01;6127;139;6634;75;0;429;169
2021-01-01;6124;138;6623;85;0;446;170
2021-01-01;6145;138;6620;88;14;500;171
2021-01-01;6226;138;6618;80;112;637;171
2021-01-01;6324;138;6618;80;257;636;172
2021-01-01;6430;139;6625;90;404;638;170
2021-01-01;6477;139;6644;98;553;553;169
2021-01-01;6576;139;6654;84;619;510;169
2021-01-01;6669;136;6647;83;668;495;169
2021-01-01;6790;139;6602;66;774;569;145
2021-01-01;6910;138;6610;69;806;571;144
2021-01-01;6635;139;6617;79;599;559;141
2021-01-01;6560;137;6596;105;504;543;141
2021-01-01;6485;134;6616;137;425;541;149
2021-01-01;6277;134;6591;158;360;529;160
2021-01-01;6284;138;6618;189;296;467;162
2021-01-01;6172;139;6620;215;215;474;165
2021-01-01;6148;144;6630;235;121;507;168
2021-01-01;6187;144;6671;283;37;509;168
2021-01-01;6253;140;6660;318;0;543;166
2021-01-01;6559;140;6659;385;0;603;169
2021-01-01;6740;140;6712;395;0;832;168
2021-01-01;6752;140;6716;406;0;829;169
2021-01-01;6792;144;6715;407;0;797;168
2021-01-01;6784;144;6716;409;0;782;169
2021-01-01;6721;144;6714;406;0;624;167
2021-01-01;6586;144;6716;391;0;619;168
2021-01-01;6483;144;6716;378;0;632;166
2021-01-01;6418;144;6716;371;0;599;169
2021-01-01;6512;144;6716;357;0;522;169
2021-01-01;6771;144;6717;349;0;528;170
2021-01-01;6597;144;6717;337;0;596;167
2021-01-02;6639;144;6717;306;0;587;170
2021-01-02;6634;144;6717;284;0;512;171
2021-01-02;6470;146;6718;264;0;465;171
2021-01-02;6621;146;6716;251;0;470;168
2021-01-02;6495;146;6720;254;0;469;170
2021-01-02;6525;146;6723;244;0;432;171
2021-01-02;6342;146;6585;265;0;431;169
2021-01-02;6214;146;6624;251;0;418;169
2021-01-02;6109;146;6611;253;0;425;168
2021-01-02;6087;146;6542;246;0;442;169
2021-01-02;6062;146;6562;241;0;437;167
2021-01-02;6172;146;6644;241;0;438;167
2021-01-02;6260;146;6647;244;0;439;162
2021-01-02;6465;150;6645;244;0;537;155
2021-01-02;6572;157;6719;270;0;521;156
2021-01-02;6674;157;6719;239;0;527;158
2021-01-02;6797;154;6720;266;0;454;153
2021-01-02;6909;153;6719;249;0;538;155
2021-01-02;7032;153;6723;216;3;602;153
2021-01-02;7212;152;6720;176;45;642;149
2021-01-02;7341;152;6718;155;129;728;145
2021-01-02;7442;157;6718;150;223;645;147
2021-01-02;7401;157;6718;157;318;655;152
2021-01-02;7384;161;6719;155;384;675;147
2021-01-02;7487;165;6720;141;492;660;146
2021-01-02;7466;164;6720;148;547;655;147
2021-01-02;7587;162;6719;136;652;648;145
2021-01-02;7292;162;6719;133;672;648;149
2021-01-02;7231;162;6717;130;705;538;146
2021-01-02;7183;173;6716;116;595;540;150
2021-01-02;6971;173;6715;104;550;543;151
2021-01-02;6944;170;6711;103;451;630;158
2021-01-02;6798;170;6712;103;326;642;157
2021-01-02;6745;170;6714;86;209;647;155
2021-01-02;6778;171;6714;76;80;650;154
2021-01-02;6863;173;6713;76;6;567;160
2021-01-02;7027;174;6712;82;0;631;160
2021-01-02;7258;174;6712;89;0;795;150
2021-01-02;7389;174;6711;92;0;885;161
2021-01-02;7488;174;6711;83;0;845;160
2021-01-02;7432;174;6711;72;0;821;160
2021-01-02;7209;172;6711;65;0;660;161
2021-01-02;7127;172;6712;65;0;650;158
2021-01-02;7016;172;6711;59;0;646;157
2021-01-02;6902;172;6712;50;0;636;154
2021-01-02;6968;171;6684;45;0;606;162
2021-01-02;7224;172;6661;44;0;597;161
2021-01-02;7009;172;6705;44;0;588;159
2021-01-03;7033;172;6709;51;0;580;157
2021-01-03;6818;172;6711;44;0;563;160
2021-01-03;6643;172;6709;46;0;544;162
2021-01-03;6909;172;6708;45;0;496;159
2021-01-03;6740;172;6708;51;0;494;162
2021-01-03;6720;172;6710;57;0;392;160
2021-01-03;6508;172;6710;59;0;392;147
2021-01-03;6258;171;6657;75;0;386;155
2021-01-03;6120;171;6661;90;0;387;155
2021-01-03;6143;173;6676;81;0;478;153
2021-01-03;6120;172;6708;72;0;475;154
2021-01-03;6153;172;6625;65;0;480;154
2021-01-03;6167;169;6631;79;0;478;147
2021-01-03;6328;172;6643;86;0;485;150
2021-01-03;6390;172;6697;88;0;497;157
2021-01-03;6482;172;6710;89;0;497;161
2021-01-03;6555;172;6709;85;0;497;163
2021-01-03;6621;170;6709;76;0;540;159
2021-01-03;6695;170;6709;66;19;564;158
2021-01-03;6822;170;6709;63;143;593;154
2021-01-03;6924;168;6708;61;290;594;155
2021-01-03;7059;170;6710;56;505;608;155
2021-01-03;7139;167;6711;51;747;632;159
2021-01-03;7154;168;6711;45;950;704;161
2021-01-03;7179;166;6711;38;1029;712;160
2021-01-03;7240;170;6710;40;1111;704;160
2021-01-03;7323;173;6710;41;1145;689;161
2021-01-03;6965;173;6710;48;1030;679;160
2021-01-03;6913;183;6710;51;842;581;162
2021-01-03;6742;214;6710;61;640;588;158
2021-01-03;6537;213;6709;75;514;579;160
2021-01-03;6484;213;6708;76;367;583;162
2021-01-03;6353;213;6708;86;211;575;151
2021-01-03;6350;215;6706;102;94;591;151
2021-01-03;6431;214;6707;142;24;592;156
2021-01-03;6527;215;6708;166;0;678;160
2021-01-03;6898;215;6709;170;0;687;164
